---------------------------------------------------------------------------------
| debug/                                                           |            |
|    ent_coef_min                                                  | 0.0005     |
|    ent_coef_nominal                                              | 0.0005     |
|    entropy_decay_start_update                                    | -1         |
|    entropy_loss                                                  | 0.303      |
|    entropy_plateau                                               | 0          |
|    ev/bias                                                       | -0.00706   |
|    ev/bias_rel                                                   | 0.469      |
|    ev/corr                                                       | 0.252      |
|    ev/global                                                     | 0.0502     |
|    ev/mean_grouped                                               | 0.0444     |
|    ev/mean_grouped_unweighted                                    | 0.0444     |
|    ev/mean_grouped_weighted                                      | 0.0444     |
|    ev/median_grouped                                             | 0.0466     |
|    ev/n_samples                                                  | 1.31e+04   |
|    ev/on_train_batch                                             | 0.0502     |
|    ev_vf_clip/pred/norm_std_delta                                | 0          |
|    ev_vf_clip/pred/norm_std_post                                 | 1.86e-09   |
|    ev_vf_clip/pred/norm_std_pre                                  | 1.86e-09   |
|    ev_vf_clip/pred/raw_std_delta                                 | 0          |
|    ev_vf_clip/pred/raw_std_post                                  | 1.86e-09   |
|    ev_vf_clip/pred/raw_std_pre                                   | 1.86e-09   |
|    ev_vf_clip/target/norm_std_delta                              | 0          |
|    ev_vf_clip/target/norm_std_post                               | 0.0247     |
|    ev_vf_clip/target/norm_std_pre                                | 0.0247     |
|    ev_vf_clip/target/raw_std_delta                               | 0          |
|    ev_vf_clip/target/raw_std_post                                | 0.0247     |
|    ev_vf_clip/target/raw_std_pre                                 | 0.0247     |
|    expected_batch_size                                           | 64         |
|    explained_variance                                            | 0.0502     |
|    explained_variance_available                                  | 1          |
|    gae_lambda                                                    | 0.95       |
|    gamma                                                         | 0.975      |
|    grad_accum_steps                                              | 1          |
|    grad_norm_post_clip                                           | 0.667      |
|    grad_norm_pre_clip                                            | 1.73       |
|    kl_absolute_stop_trigger                                      | 0          |
|    kl_early_stop                                                 | 0          |
|    kl_epoch_factor                                               | 1          |
|    kl_exceed_consec_max                                          | 0          |
|    kl_exceed_frac                                                | 0          |
|    kl_exceed_stop_fraction                                       | 0.3        |
|    kl_last_exceeded                                              | 0          |
|    kl_lr_decay_applied                                           | 0          |
|    kl_lr_scale                                                   | 1          |
|    kl_penalty_beta                                               | 0.0001     |
|    kl_penalty_error                                              | -0.079     |
|    kl_penalty_pid_d                                              | 1.94e-05   |
|    kl_penalty_pid_i                                              | -0.0383    |
